A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
14654,218,82,103,12373,111,98,270,8161,0.975547546,0.979938478,0.982998332,0.956853089,0.9732633,0.986469202,0.962055828,0.976897295,0.975140775
14678,256,86,104,12520,114,110,258,7944,0.974272248,0.97723036,0.982885853,0.95572666,0.971947624,0.985629868,0.960564677,0.975442043,0.973878863
14626,225,96,90,12545,107,94,283,8004,0.975187136,0.978524119,0.984539319,0.955017301,0.972693579,0.987575962,0.961081744,0.975265018,0.974640908
14637,241,98,108,12441,132,107,266,8040,0.973606876,0.977363782,0.981074048,0.955663854,0.971367228,0.985523835,0.960843373,0.972188634,0.972851947
14743,199,81,121,12416,125,115,236,8034,0.975686166,0.981361912,0.98057179,0.958139535,0.973357745,0.984244609,0.966150494,0.975,0.975131701
14632,221,87,99,12473,114,98,266,8080,0.975464375,0.979384203,0.983209838,0.956892468,0.97316217,0.98671522,0.96242284,0.975727569,0.97495521
14662,242,77,98,12318,116,128,262,8167,0.974410868,0.978706361,0.982923715,0.954423279,0.972017785,0.984819989,0.96069256,0.976913876,0.974142142
14492,230,83,102,12599,114,108,259,8083,0.975159412,0.978858494,0.983144752,0.956568047,0.972857098,0.985716229,0.962637531,0.976207729,0.97485383
14796,222,87,116,12258,118,93,243,8137,0.975630718,0.979543198,0.981268012,0.960344624,0.973718611,0.98607131,0.963452016,0.975425557,0.974982961
14654,232,87,109,12430,124,113,277,8044,0.973884114,0.978694984,0.981599937,0.953758596,0.971351172,0.985076634,0.960661566,0.974439733,0.973392644
14718,237,71,106,12441,109,101,246,8041,0.975880233,0.979502196,0.98301201,0.958631378,0.973715195,0.986130653,0.962627669,0.978104853,0.975621059
14669,230,79,109,12449,117,119,240,8058,0.97521486,0.979369742,0.982169625,0.957348224,0.97296253,0.984694905,0.963619475,0.976253937,0.974856106
14614,261,82,98,12460,117,97,245,8096,0.975048517,0.977067594,0.983037475,0.959469068,0.973191379,0.986832332,0.960974857,0.976009644,0.974605611
